S.No,NAME,ID NUMBER,COURSE CODE,COURSE NAME - RAW,COURSE NAME,COMPONENT,ATTENDANCE,PHONE NUMBER
1,SIVA,2200080234,22UC3209,PROBLEM        SOLVING        & REASONING SKILLS-2,PROBLEM SOLVING & REASONING SKILLS-2,S,100%,99666 30427
2,SIVA,2200080234,22SDCI05R,CLOUD DEVOPS,CLOUD DEVOPS,P,100%,99666 30428
3,SIVA,2200080234,22SDCI05R,CLOUD DEVOPS,CLOUD DEVOPS,S,86%,99666 30429
4,SIVA,2200080234,22SMD3303A,CONTINUOUS   DELIVERY   & DEVOPS,CONTINUOUS DELIVERY & DEVOPS,L,100%,99666 30430
5,SIVA,2200080234,22SMD3303A,CONTINUOUS   DELIVERY   & DEVOPS,CONTINUOUS DELIVERY & DEVOPS,P,84%,99666 30431
6,SIVA,2200080234,22SMD3303A,CONTINUOUS   DELIVERY   & DEVOPS,CONTINUOUS DELIVERY & DEVOPS,S,100%,99666 30432
7,SIVA,2200080234,22AD3206A,DATA          SCIENCE          AND VISUALIZATION,DATA SCIENCE AND VISUALIZATION,L,67%,99666 30433
8,SIVA,2200080234,22AD3206A,DATA          SCIENCE          AND VISUALIZATION,DATA SCIENCE AND VISUALIZATION,P,100%,99666 30434
9,SIVA,2200080234,22AD3207A,BIG DATA ANALYTICS,BIG DATA ANALYTICS,L,100%,99666 30435
10,SIVA,2200080234,22AD3207A,BIG DATA ANALYTICS,BIG DATA ANALYTICS,P,100%,99666 30436
11,SIVA,2200080234,22IE3043,TERM PAPER,TERM PAPER,P,88%,99666 30437
12,SIVA,2200080234,22PH4102,APPLIED PHYSICS,APPLIED PHYSICS,L,67%,99666 30438
13,SIVA,2200080234,22PH4102,APPLIED PHYSICS,APPLIED PHYSICS,P,100%,99666 30439
14,SIVA,2200080234,21CC3001,AWS                          CERTIFIED DEVELOPER - ASSOCIATE,AWS CERTIFIED DEVELOPER - ASSOCIATE,S,60%,99666 30440
15,Aravind,2200080137,22UC3209,PROBLEM        SOLVING        & REASONING SKILLS-2,PROBLEM SOLVING & REASONING SKILLS-2,S,0%,99666 30427
16,Aravind,2200080137,22SDCI05R,CLOUD DEVOPS,CLOUD DEVOPS,P,100%,99666 30428
17,Aravind,2200080137,22SDCI05R,CLOUD DEVOPS,CLOUD DEVOPS,S,86%,99666 30429
18,Aravind,2200080137,22SMD3303A,CONTINUOUS   DELIVERY   & DEVOPS,CONTINUOUS DELIVERY & DEVOPS,L,100%,99666 30430
19,Aravind,2200080137,22SMD3303A,CONTINUOUS   DELIVERY   & DEVOPS,CONTINUOUS DELIVERY & DEVOPS,P,84%,99666 30431
20,Aravind,2200080137,22SMD3303A,CONTINUOUS   DELIVERY   & DEVOPS,CONTINUOUS DELIVERY & DEVOPS,S,100%,99666 30432
21,Aravind,2200080137,22AD3206A,DATA          SCIENCE          AND VISUALIZATION,DATA SCIENCE AND VISUALIZATION,L,67%,99666 30433
22,Aravind,2200080137,22AD3206A,DATA          SCIENCE          AND VISUALIZATION,DATA SCIENCE AND VISUALIZATION,P,100%,99666 30434
23,Aravind,2200080137,22AD3207A,BIG DATA ANALYTICS,BIG DATA ANALYTICS,L,100%,99666 30435
24,Aravind,2200080137,22AD3207A,BIG DATA ANALYTICS,BIG DATA ANALYTICS,P,100%,99666 30436
25,Aravind,2200080137,22IE3043,TERM PAPER,TERM PAPER,P,88%,99666 30437
26,Aravind,2200080137,22PH4102,APPLIED PHYSICS,APPLIED PHYSICS,L,67%,99666 30438
27,Aravind,2200080137,22PH4102,APPLIED PHYSICS,APPLIED PHYSICS,P,100%,99666 30439
28,Aravind,2200080137,21CC3001,AWS                          CERTIFIED DEVELOPER - ASSOCIATE,AWS CERTIFIED DEVELOPER - ASSOCIATE,S,60%,99666 30440
